web-scraper-order,web-scraper-start-url,answers,pagination,pagination-href,clues
"1616687234-173322","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","They can blow a lot of hot air :"
"1616687234-173177","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616687240-173509","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687240-173459","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687234-173258","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687240-173385","https://www.xwordinfo.com/Crossword?date=03/24/2021",": ISUREAM","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687234-173351","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687234-173080","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616687234-173260","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687234-173179","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616687240-173538","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","null"
"1616687234-173230","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687234-173357","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687240-173393","https://www.xwordinfo.com/Crossword?date=03/24/2021",": KEITEL","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687234-173174","https://www.xwordinfo.com/Crossword?date=03/24/2021",": NOLO","","",""
"1616687234-173078","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616687240-173653","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","null"
"1616687234-173221","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Catch :"
"1616687234-173303","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687234-173134","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616687234-173109","https://www.xwordinfo.com/Crossword?date=03/24/2021",": WHOWOREITBETTER","","",""
"1616687240-173401","https://www.xwordinfo.com/Crossword?date=03/24/2021",": GRAINY","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687234-173308","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Spinning :"
"1616687234-173255","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Question asked regarding two red-carpet photos of those named in the starred clues? :"
"1616687240-173564","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","null"
"1616687240-173658","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","One role for Harriet Tubman in the Civil War :"
"1616687234-173216","https://www.xwordinfo.com/Crossword?date=03/24/2021",": PTSD","","",""
"1616687234-173183","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616687240-173553","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","Opposite of [circled letters] :"
"1616687234-173196","https://www.xwordinfo.com/Crossword?date=03/24/2021",": EDAM","","",""
"1616687240-173369","https://www.xwordinfo.com/Crossword?date=03/24/2021",": YALU","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687240-173434","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687240-173407","https://www.xwordinfo.com/Crossword?date=03/24/2021",": PRURIENT","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687234-173081","https://www.xwordinfo.com/Crossword?date=03/24/2021",": ALL","","",""
"1616687234-173162","https://www.xwordinfo.com/Crossword?date=03/24/2021",": AREEL","","",""
"1616687234-173338","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Body of water in northern Russia :"
"1616687234-173143","https://www.xwordinfo.com/Crossword?date=03/24/2021",": TED","","",""
"1616687234-173356","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","""Rolling in the Deep"" hitmaker :"
"1616687240-173654","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","Happy states :"
"1616687234-173340","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Like tightrope walkers and household budgets, ideally :"
"1616687240-173409","https://www.xwordinfo.com/Crossword?date=03/24/2021",": TIL","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616687234-173346","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Scrap :"
"1616687240-173575","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","""Quick, get that dog some ___"" (old ad slogan) :"
"1616687234-173304","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Tre x due :"
"1616687240-173657","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","null"
"1616687234-173297","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
"1616687234-173282","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","null"
